file	line_no	token	prev_line	next_line	context
1_veda/2_bra/gopbra_u.txt	809	ā			agna ā yāhi vītaye gṛṇāno havyadātaye ni hotā satsi barhiṣi ity evam ādiṃ kṛtvā samāvedam adhīyate
1_veda/2_bra/gopbra_u.txt	1247	ā			sa yad oṃpūrvān mantrān prayuṅkta ā sarvamedhād ete kratava eta evāsya sarveṣu lokeṣu sarveṣu deveṣu sarveṣu vedeṣu sarveṣu bhūteṣu sarveṣu sattveṣu kāmacāraḥ kāmavimocanaṃ bhavaty ardhe ca na pramīyate ya evaṃ veda
1_veda/2_bra/gopbra_u.txt	1379	ā			ā samiddhārāt svar eṣyanto 'nnam adyāt
1_veda/2_bra/gopbra_u.txt	1381	ā			athāha jaghanam āhuḥ snāpayetainam itiy ā samiddhārāt
1_veda/2_bra/gopbra_u.txt	1391	ā			teṣāṃ ha sma vaiṣā puṇyā kīrtir gacchaty ā ha vā ayaṃ so 'dya gamiṣyatīti ||
1_veda/2_bra/gopbra_u.txt	1589	ā			tad apy etad ṛcoktam antarikṣe pathibhir hrīyamāṇo na ni viśate katamac ca nāhaḥ | apāṃ yoniḥ prathamajā ṛtasya kva svij jātaḥ kuta ā babhūva iti
1_veda/2_bra/gopbra_u.txt	2421	ā			atha yāni stotrāṇi saśastrāṇy ā vaṣaṭkārāt teṣu
1_veda/2_bra/gopbra_u.txt	2905	ā			ānaḍuhenaiva śakṛtpiṇḍenāgnyāyatanāni parilipya homyam upasādya vāta ā vātu bheṣajam iti sūktenātmany eva juhuyāt
1_veda/2_bra/gopbra_u.txt	4893	ā			te nānādhiṣṇyā eva syur ā dīkṣaṇīyāyāḥ
1_veda/2_bra/gopbra_u.txt	5019	ā			tasminn evaitad anujñām icchati praṇītāsu praṇīyamānāsu vācaṃ yacchaty ā haviṣkṛta udvādanāt
1_veda/2_bra/gopbra_u.txt	6107	ā			ā tubhyam indraḥ pyāyatām ā tvam indrāya pyāyasvety āha
1_veda/2_bra/gopbra_u.txt	6107	ā			ā tubhyam indraḥ pyāyatām ā tvam indrāya pyāyasvety āha
1_veda/2_bra/gopbra_u.txt	6805	ā			prātaryāvabhir ā gataṃ devebhir jenyāvasū indrāgnī somapītaye iti
1_veda/2_bra/gopbra_u.txt	6859	ā			ā vāṃ viśantv indavaḥ svābhuvaḥ iti bahūni vāha
1_veda/2_bra/gopbra_u.txt	6863	ā			ā vo vahantu saptayo raghuṣyadaḥ iti potā yajati
1_veda/2_bra/gopbra_u.txt	6869	ā			ameva naḥ suhavā ā hi gantana iti neṣṭā yajati
1_veda/2_bra/gopbra_u.txt	6877	ā			ā vām andhāṃsi madirāṇy agman iti bahūni vāha
1_veda/2_bra/gopbra_u.txt	7077	ā			śaṃ no bhava hṛda ā pīta indo piteva soma sūnave suśevaḥ | sakheva sakhya uruśaṃsa dhīraḥ pra ṇa āyur jīvase soma tārīḥ ity ātmānaṃ pratyabhimṛśati
1_veda/2_bra/gopbra_u.txt	7389	ā			ā no mitrāvaruṇā ā no gantaṃ riśādasā iti maitrāvaruṇasya stotriyānurūpau
1_veda/2_bra/gopbra_u.txt	7389	ā			ā no mitrāvaruṇā ā no gantaṃ riśādasā iti maitrāvaruṇasya stotriyānurūpau
1_veda/2_bra/gopbra_u.txt	7395	ā			ā yātaṃ mitrāvaruṇā iti yajati
1_veda/2_bra/gopbra_u.txt	7425	ā			ā yāhi suṣumā hi te ā no yāhi sutāvataḥ iti brāhmaṇācchaṃsina stotriyānurūpau
1_veda/2_bra/gopbra_u.txt	7425	ā			ā yāhi suṣumā hi te ā no yāhi sutāvataḥ iti brāhmaṇācchaṃsina stotriyānurūpau
1_veda/2_bra/gopbra_u.txt	7455	ā			yad v evaindrāgnāni śaṃsati prātaryāvabhir ā gataṃ devebhir jenyāvasū indrāgnī somapītaye ity ṛcābhyanūktam
1_veda/2_bra/gopbra_u.txt	7457	ā			indrāgnī ā gatam tośā vṛtrahaṇā huve ity acchāvākasya stotriyānurūpau
1_veda/2_bra/gopbra_u.txt	7463	ā			indrāgnī ā gatam iti yajati
1_veda/2_bra/gopbra_u.txt	7855	ā			oṃ kayā naś citra ā bhuvat kayā tvaṃ na ūtyā iti maitrāvaruṇasya stotriyānurūpau
1_veda/2_bra/gopbra_u.txt	8349	ā			tad vai khalv ā vāṃ rājānāv adhvare vavṛtyām iti
1_veda/2_bra/gopbra_u.txt	8423	ā			atha yad aindrāvaiṣṇavam acchāvākasyokthaṃ bhavati indrāviṣṇū madapatī madānām ā somaṃ yātaṃ draviṇo dadhānā ity ṛcābhyanūktam
1_veda/2_bra/gopbra_u.txt	8593	ā			ā dviṣato vasu datte nir evainam ebhyaḥ sarvebhyo lokebhyo nudate ya evaṃ veda ||
1_veda/2_bra/gopbra_u.txt	9073	ā			yat soma ā sute naraḥ ity acchāvākasya
1_veda/2_bra/gopbra_u.txt	9177	ā			ā satyo yātu maghavāṃ ṛjīṣī iti satyavān maitrāvaruṇaḥ
1_veda/2_bra/gopbra_u.txt	9291	ā			ā yāhy arvāṅ upa vandhureṣṭhāḥ ity acchāvākaḥ
1_veda/2_bra/gopbra_u.txt	10021	ā			ā dviṣato vasu datte nir evainam ebhyaḥ sarvebhyo lokebhyo nudate ya evaṃ veda
1_veda/2_bra/gopbra_u.txt	10173	ā			athaitaśapralāpaṃ śaṃsaty etā aśvā ā plavante iti
1_veda/2_bra/kausibru.txt	231	ā			ā hy ato vibhaktayo anuprotā bhavanti |
1_veda/2_bra/kausibru.txt	923	ā			ā ca vaha jātavedaḥ suyujā ca yaja ity āha |
1_veda/2_bra/kausibru.txt	1277	ā			ā caturam vai dvandvam mithunam prajananam prajātyai |
1_veda/2_bra/kausibru.txt	2391	ā			ā ha vā asya aṣṭamāt puruṣāt prajā annam atti |
1_veda/2_bra/kausibru.txt	3177	ā			ā caturam vai dvandvam mithunam prajananam prajātyai |
1_veda/2_bra/kausibru.txt	3293	ā			ā yam haste na khādinam iti hastavatīm hastena dhāryamāṇāya |
1_veda/2_bra/kausibru.txt	3297	ā			ā jātam jāta vedasi ity āvatīm āhūyamānāya |
1_veda/2_bra/kausibru.txt	3555	ā			ā no viśvābhir ūtibhir ity ānuṣṭubham tṛcam sā vāk |
1_veda/2_bra/kausibru.txt	3563	ā			ā bhāty agnir uṣasām anīkam ity apara ahṇe |
1_veda/2_bra/kausibru.txt	3593	ā			ā sute siñcata śriyam ā nūnam aśvinor ṛṣir ity āsiktavatyāv abhirūpe abhiṣṭauti |
1_veda/2_bra/kausibru.txt	3593	ā			ā sute siñcata śriyam ā nūnam aśvinor ṛṣir ity āsiktavatyāv abhirūpe abhiṣṭauti |
1_veda/2_bra/kausibru.txt	6145	ā			vāyav ā yāhi darśata aśvinā yajvarīr iṣa ity ete ubhe tat praugam navarcam ca dvādaśarcam ca |
1_veda/2_bra/kausibru.txt	6275	ā			ā tvā ratham yathā ūtaya ity anuṣṭubhā marutvatīyam pratipadyate |
1_veda/2_bra/kausibru.txt	7525	ā			tān ha tac ceṣṭanti nv ā iti |
1_veda/2_bra/kausibru.txt	7675	ā			ā vām ratho aśvinā śyenapatvā iti sa uddhiḥ |
1_veda/2_bra/kausibru.txt	8363	ā			ā tvā ratham yathā ūtaya iti marutvatīyasya pratipat |
1_veda/2_bra/kausibru.txt	8569	ā			ā yāhy arvān upavandhurā iṣṭā iti niṣkevalyam āvat |
1_veda/2_bra/kausibru.txt	8591	ā			tasmint sumnāni yajamāna ā caka ity āvat |
1_veda/2_bra/kausibru.txt	8649	ā			ā viśvadevam satpatim ity anucaro vivāṃs tasya uktam brāhmaṇam |
1_veda/2_bra/kausibru.txt	8707	ā			tān rohid aśva girvaṇas trayas triṃśatam ā vaha iti |
1_veda/2_bra/kausibru.txt	8749	ā			tiṣṭhā harī ratha ā yujyamānā iti marutvatīyam |
1_veda/2_bra/kausibru.txt	8789	ā			ā no bhadrāḥ kratavo yantu viśvata iti vaiśvadevam |
1_veda/2_bra/kausibru.txt	8803	ā			ā rudrāsa indravantaḥ sajoṣasa iti mārutam |
1_veda/2_bra/kausibru.txt	8881	ā			tasmint sumnāni yajamāna ā caka ity āvat |
1_veda/2_bra/kausibru.txt	8909	ā			agna ojiṣṭham ā bhara ity ājyam |
1_veda/2_bra/kausibru.txt	8931	ā			etāyām ā upa gavuaṃta indram iti niṣkevalyam |
1_veda/2_bra/kausibru.txt	9185	ā			ā yātv indro avasa upa na iti marutvatīyam āvat |
1_veda/2_bra/kausibru.txt	9191	ā			ā na indro dūrād ā na āsād iti niṣkevalyam āvat |
1_veda/2_bra/kausibru.txt	9191	ā			ā na indro dūrād ā na āsād iti niṣkevalyam āvat |
1_veda/2_bra/kausibru.txt	9235	ā			tasmint sumnāni yajamāna ā caka ity āvat |
1_veda/2_bra/kausibru.txt	9289	ā			viśvo devasya netur ā viśva devam satpatim iti pratipad anucarau tayor uktam brāhmaṇam |
1_veda/2_bra/kausibru.txt	9629	ā			ā cyāvayasy ūtaya ity ūtimat |
1_veda/2_bra/kausibru.txt	9641	ā			ā devo yātu savitā suratnaḥ pra dyāvā yajñaiḥ pṛthivī namobhiḥ pra ṛbhubhyo dūtam iva vācam iṣye pra śukra etu devī manīṣā iti |
1_veda/2_bra/kausibru.txt	9643	ā			ā iti vā vai pra iti vā prāyaṇīya rūpam |
1_veda/2_bra/kausibru.txt	9669	ā			ā tv eṣam ugram ava īmahe vayam iti |
1_veda/2_bra/kausibru.txt	9671	ā			ā iti vā vai pra iti vā prāyaṇīya rūpam |
1_veda/2_bra/kausibru.txt	9685	ā			ā iti vā vai pra iti vā prāyaṇīya rūpam |
1_veda/2_bra/kausibru.txt	9915	ā			ā rudrāsa indravantaḥ sajoṣasa iti mārutam |
1_veda/2_bra/kausibru.txt	10291	ā			viśve devāsa ā gata śṛṇutā ma imam havam |
1_veda/2_bra/kausibru.txt	10293	ā			ā idam barhir ni ṣīdata iti |
1_veda/2_bra/kausibru.txt	10383	ā			ā yajñair deva martya iti prathamasya svara sāmna ājyam āvad rāthantaram |
1_veda/2_bra/kausibru.txt	10387	ā			agna ojiṣṭham ā bhara iti tṛtīyasya āvad rāthantaram |
1_veda/2_bra/kausibru.txt	10427	ā			indra kratuṣ ṭam ā bhara ity āvad rāthantaram |
1_veda/2_bra/kausibru.txt	10613	ā			ā gomatā nāsatyā rathena ity āśvinam |
1_veda/2_bra/kausibru.txt	10619	ā			ā no deva śavasā yāhi śuṣminn ity aindram |
1_veda/2_bra/kausibru.txt	10827	ā			ā satyo yātu maghavān ṛjīṣī ity ekaviṃśatiḥ |
1_veda/2_bra/kausibru.txt	10907	ā			ā indra yāhi haribhir iti pañcadaśa |
1_veda/2_bra/kausibru.txt	10909	ā			sarūpair ā su no gahi ity etena rūpeṇa |
1_veda/2_bra/kausibru.txt	10915	ā			ā satyo yātu maghavān ṛjīṣī ity ekaviṃśatis tās trayoviśaṃtiḥ |
1_veda/2_bra/kausibru.txt	11467	ā			ā gomatā nāsatyā rathena ā no deva śavasā yāhi śuṣṇin pra vo yajñeṣu devayanto arcanpra kṣodasā dhāyasā sasra eṣa iti |
1_veda/2_bra/kausibru.txt	11467	ā			ā gomatā nāsatyā rathena ā no deva śavasā yāhi śuṣṇin pra vo yajñeṣu devayanto arcanpra kṣodasā dhāyasā sasra eṣa iti |
1_veda/2_bra/kausibru.txt	11569	ā			ā ayāhi vanasā saha iti dvipadā āvat |
1_veda/2_bra/kausibru.txt	11575	ā			viśve devāsa ā gata ity āvat |
1_veda/2_bra/kausibru.txt	11583	ā			ā pra yātu parāvata ity āvat |
1_veda/2_bra/kausibru.txt	11825	ā			atra nv ā api stomo na vyāptavya iti ha sma āha paiṅgyaḥ |
1_veda/2_bra/kausibru.txt	11851	ā			ā vāyo bhūṣa śucipā upa na iti vāyavyam ca aindrāvāyavam ca |
1_veda/2_bra/kausibru.txt	11885	ā			ā viśva vārā aśvinā gatam na ity āśvinam |
1_veda/2_bra/kausibru.txt	11959	ā			tiṣṭhā harī ratha ā yujyamānā iti tṛtīyam |
1_veda/2_bra/kausibru.txt	11981	ā			ā satyo yātu maghavān ṛjīṣī iti traiṣṭubhānām prathamam niṣkevalyānām |
1_veda/2_bra/kausibru.txt	12075	ā			viśve devāsa ā gata iti vaiśvadevam bhāradvājam |
1_veda/2_bra/kausibru.txt	12077	ā			ā gata iti gatavat |
1_veda/2_bra/kausibru.txt	12247	ā			kayā naś citra ā bhuvat kayā tvam na ūtyā iti vāmadevyasya yonau rathantaram ūḍham bhavaty āgneyam sāma aidrīṣu |
1_veda/2_bra/kausibru.txt	12483	ā			te vācam yamā āsata ā nakṣatrāṇām darśanāt |
1_veda/2_bra/kausibru.txt	12517	ā			te nv ā u vayam uttareṇa eva havir dhāne parīma iti ha sma āha kauṣītakiḥ |
1_veda/2_bra/kausibru.txt	12689	ā			nava nv ā atra camasān unnayanti |
1_veda/2_bra/kausibru.txt	12725	ā			agne patnīr iha ā vaha ity āgnipātnīvatyā tvaṣṭṛmatyā na neṣṭā |
1_veda/2_bra/kausibru.txt	12863	ā			prātar yāvabhir ā gatam ity aindrāgnyā yajati |
1_veda/2_bra/kausibru.txt	13135	ā			ā caturam vai dvandvam mithunam prajananam prajātyai |
1_veda/2_bra/pncvbr1u.txt	99	ā			soma gīrbhiṣ ṭvā vayaṃ vardhayāmo vācovidaḥ sumṛḍīko na ā viśa
1_veda/2_bra/pncvbr1u.txt	101	ā			ā pyāyasva sam etu te viśvataḥ soma vṛṣṇyam | bhavā vājasya saṃgathe
1_veda/2_bra/pncvbr1u.txt	129	ā			stutasya stutam asy ūrjasvat payasvad ā mā stotrasya strotraṃ | gamyād indravanto vanemahi bhakṣīmahi prajām iṣam
1_veda/2_bra/pncvbr1u.txt	151	ā			kāmakāmaṃ ma ā vartaya
1_veda/2_bra/pncvbr1u.txt	169	ā			vaiśvānaraḥ pratnathā nākam ā ruha divaḥ pṛṣṭhe mandamānaḥ sumanmabhiḥ sapūrvavaj jantave dhanāḥ samānam ayman pary eti jāgṛviḥ
1_veda/2_bra/pncvbr1u.txt	173	ā			kṛśāno savyān ā yaccha
