file	original_line_no	category	rule	token	occurrence_count	before	after
1_veda/2_bra/satapath/sb_01_u.txt	453	standalone_consonant	delete_non_whitelisted_standalone_consonant	y	1	manurāvaṃ nveva vedāveti tau hāgatyocaturmano y	manurāvaṃ nveva vedāveti tau hāgatyocaturmano
1_veda/2_bra/satapath/sb_01_u.txt	2809	standalone_consonant	delete_non_whitelisted_standalone_consonant	h	1	pañca mametīndro 'bravīt | tata itare mithunaṃ nāvindanno h	pañca mametīndro 'bravīt | tata itare mithunaṃ nāvindanno
1_veda/2_bra/satapath/sb_02_u.txt	2153	standalone_consonant	delete_non_whitelisted_standalone_consonant	d	1	saṃnayatyeṣa vai somo rājā d	saṃnayatyeṣa vai somo rājā
1_veda/2_bra/satapath/sb_04_u.txt	3901	standalone_consonant	delete_non_whitelisted_standalone_consonant	k	1	yasminnardhe yajante ye tathā k	yasminnardhe yajante ye tathā
1_veda/2_bra/satapath/sb_06_u.txt	515	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	ta ete sarve paśavo yadagniḥ | tasmādagnau paśavo ramante p | sminnagnirādhīyate	ta ete sarve paśavo yadagniḥ | tasmādagnau paśavo ramante  | sminnagnirādhīyate
1_veda/2_bra/satapath/sb_08_u.txt	1815	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	ācaccanda ityannaṃ vā ācaccando manaścanda iti p rajāpatirvai manaścando	ācaccanda ityannaṃ vā ācaccando manaścanda iti  rajāpatirvai manaścando
1_veda/2_bra/satapath/sb_10_u.txt	21	standalone_consonant	delete_non_whitelisted_standalone_consonant	t	1	me'mutraikaṃ tadāhariṣyāmītyevaṃ t	me'mutraikaṃ tadāhariṣyāmītyevaṃ
1_veda/4_upa/brup___u.txt	1337	english_editorial	english_marker	\b(?:add|adds|omits|reads)\b	1	sa yathā kumāro add | vā mahārājo vā mahābrāhmaṇo vātighnīm ānandasya gatvā śayīta |	sa yathā kumāro  | vā mahārājo vā mahābrāhmaṇo vātighnīm ānandasya gatvā śayīta |
1_veda/4_upa/brup___u.txt	2833	english_editorial	english_marker	\b(?:add|adds|omits|reads)\b	1	etāny aṣṭāv āyatanāny aṣṭau lokā add | aṣṭau devā aṣṭau puruṣāḥ |	etāny aṣṭāv āyatanāny aṣṭau lokā  | aṣṭau devā aṣṭau puruṣāḥ |
1_veda/4_upa/brup___u.txt	3283	english_editorial	english_marker	\b(?:add|adds|omits|reads)\b	1	sa hi svapno bhūtvemaṃ lokam atikrāmati add | mṛtyo rūpāṇi ||	sa hi svapno bhūtvemaṃ lokam atikrāmati  | mṛtyo rūpāṇi ||
1_veda/5_vedang/1_srauta/vaitss_u.txt	177	standalone_consonant	delete_non_whitelisted_standalone_consonant	g	1	yadaiva kadā cid ādadhyāc chraddhā tvevainaṃ nātīyāt || g nvevainaṃ	yadaiva kadā cid ādadhyāc chraddhā tvevainaṃ nātīyāt ||  nvevainaṃ
1_veda/5_vedang/1_srauta/vaitss_u.txt	221	standalone_consonant	delete_non_whitelisted_standalone_consonant	g	1	agniṃ tvāhur vaiśvānaraṃ sadanān pradahan nv agāḥ | sa no devatrādhi brūhi mā riṣāmā vayaṃ tava ity aśvaṃ śamayitvā yad akrandaḥ ity upākurute || g pradahan nv agāḥ | v pradahanvagāḥ	agniṃ tvāhur vaiśvānaraṃ sadanān pradahan nv agāḥ | sa no devatrādhi brūhi mā riṣāmā vayaṃ tava ity aśvaṃ śamayitvā yad akrandaḥ ity upākurute ||  pradahan nv agāḥ |  pradahanvagāḥ
1_veda/5_vedang/1_srauta/vaitss_u.txt	221	standalone_consonant	delete_non_whitelisted_standalone_consonant	v	1	agniṃ tvāhur vaiśvānaraṃ sadanān pradahan nv agāḥ | sa no devatrādhi brūhi mā riṣāmā vayaṃ tava ity aśvaṃ śamayitvā yad akrandaḥ ity upākurute || g pradahan nv agāḥ | v pradahanvagāḥ	agniṃ tvāhur vaiśvānaraṃ sadanān pradahan nv agāḥ | sa no devatrādhi brūhi mā riṣāmā vayaṃ tava ity aśvaṃ śamayitvā yad akrandaḥ ity upākurute ||  pradahan nv agāḥ |  pradahanvagāḥ
1_veda/5_vedang/1_srauta/vaitss_u.txt	279	standalone_consonant	delete_non_whitelisted_standalone_consonant	g	1	saptarṣīn iti sruvaṃ srucaṃ ca pratapati || pratitapati g	saptarṣīn iti sruvaṃ srucaṃ ca pratapati || pratitapati
1_veda/5_vedang/2_grhya/jaimigsu.txt	19	standalone_consonant	delete_non_whitelisted_standalone_consonant	d	1	d daśe viśvāya sūryaṃ svāhā ||	 daśe viśvāya sūryaṃ svāhā ||
2_epic/mbh/mbh_02_u.txt	16273	english_editorial	english_marker	\b(?:add|adds|omits|reads)\b	1	śakune hanta divyāno glaga reads ha mānau sahasraśaḥ	śakune hanta divyāno glaga  ha mānau sahasraśaḥ
2_epic/mbh/ext/hv_apppu.txt	16895	standalone_consonant	delete_non_whitelisted_standalone_consonant	k	1	k | rtavarmā ca daṃṣṭre dve vicakṣur arimardanaḥ ||	 | rtavarmā ca daṃṣṭre dve vicakṣur arimardanaḥ ||
2_epic/mbh/ext/hv_apppu.txt	29879	english_editorial	harivamsa_printed_note	has printed	1	k | pāda b has printed nārāyaṇi namo 'stute
3_purana/agp_bi_u.txt	699	standalone_consonant	delete_non_whitelisted_standalone_consonant	ś	1	ś atha prathamo 'dhyāyaḥ	 atha prathamo 'dhyāyaḥ
3_purana/agp_bi_u.txt	737	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	747	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	787	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	807	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	825	standalone_consonant	delete_non_whitelisted_standalone_consonant	ś	1	ś atha dvitīyo 'dhyāyaḥ	 atha dvitīyo 'dhyāyaḥ
3_purana/agp_bi_u.txt	853	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	862	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	902	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	917	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	931	standalone_consonant	delete_non_whitelisted_standalone_consonant	ś	1	ś atha tṛtīyo 'dhyāyaḥ	 atha tṛtīyo 'dhyāyaḥ
3_purana/agp_bi_u.txt	953	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	969	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1012	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1024	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1063	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1076	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1078	standalone_consonant	delete_non_whitelisted_standalone_consonant	ś	1	ś atha caturtho 'dhyāyaḥ	 atha caturtho 'dhyāyaḥ
3_purana/agp_bi_u.txt	1118	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1130	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1174	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1185	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1196	standalone_consonant	delete_non_whitelisted_standalone_consonant	ś	1	ś atha pañcamo 'dhyāyaḥ	 atha pañcamo 'dhyāyaḥ
3_purana/agp_bi_u.txt	1230	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1267	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1277	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1279	standalone_consonant	delete_non_whitelisted_standalone_consonant	ś	1	ś atha ṣaṣṭho 'dhyāyaḥ	 atha ṣaṣṭho 'dhyāyaḥ
3_purana/agp_bi_u.txt	1321	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1331	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1379	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1383	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1431	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1437	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1483	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1491	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1522	standalone_consonant	delete_non_whitelisted_standalone_consonant	ś	1	ś atha saptamo 'dhyāyaḥ	 atha saptamo 'dhyāyaḥ
3_purana/agp_bi_u.txt	1532	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1540	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1588	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1594	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1639	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
3_purana/agp_bi_u.txt	1649	standalone_consonant	delete_non_whitelisted_standalone_consonant	p	1	p
3_purana/agp_bi_u.txt	1651	standalone_consonant	delete_non_whitelisted_standalone_consonant	ś	1	ś atha aṣṭamo 'dhyāyaḥ	 atha aṣṭamo 'dhyāyaḥ
3_purana/agp_bi_u.txt	1689	standalone_consonant	delete_non_whitelisted_standalone_consonant	n	1	n
