file	line_no	issue_type	matched_form	matched_sequence	context
1_veda/2_bra/gopbra_u.txt	789	adjacent_vowels	īḷe	īḷ	agnim īḷe purohitaṃ yajñasya devam ṛtvijaṃ hotāraṃ ratnadhātamam ity...
1_veda/2_bra/gopbra_u.txt	789	adjacent_vowels	īḷe	ḷe	agnim īḷe purohitaṃ yajñasya devam ṛtvijaṃ hotāraṃ ratnadhātamam ity ...
1_veda/2_bra/gopbra_u.txt	1407	adjacent_vowels	ramantae	ae	api kila devā na ramante na hi devā na ramantae
1_veda/2_bra/gopbra_u.txt	3135	adjacent_vowels	śrutaṛṣiḥ	aṛ	devabhājo ha vā imaṃ śrutaṛṣiḥ paśor vibhāgaṃ vidāṃ cakāra
1_veda/2_bra/gopbra_u.txt	7387	isolated_consonant	v	v	yad v eva maitrāvaruṇāni śaṃsati prati vāṃ sūra udite vidhema nam...
1_veda/2_bra/gopbra_u.txt	7423	isolated_consonant	v	v	yad v evaindrāṇi sūryanyaṅgāni śaṃsati indra piba pratikāmaṃ suta...
1_veda/2_bra/gopbra_u.txt	7455	isolated_consonant	v	v	yad v evaindrāgnāni śaṃsati prātaryāvabhir ā gataṃ devebhir jenyā...
1_veda/2_bra/gopbra_u.txt	7809	isolated_consonant	v	v	yad v eva niṣkevalyāny ekaṃ ha vā agre savanam āsīt prātaḥsavanam...
1_veda/2_bra/gopbra_u.txt	7817	isolated_consonant	v	v	yad v eva niṣkevalyāni yā ha vai devatāḥ prātaḥsavane hotā śaṃsat...
1_veda/2_bra/gopbra_u.txt	7837	isolated_consonant	v	v	yad v eva niṣkevalyāni yaded adevīr asahiṣṭa māyā athābhavat keva...
1_veda/2_bra/gopbra_u.txt	7849	adjacent_vowels	bharadvājāa	āa	... vāmadevān na pracyavate vasiṣṭhād brāhmaṇācchaṃsī bharadvājāa acchāvākaḥ sarve viśvāmitrāt
1_veda/2_bra/gopbra_u.txt	8253	adjacent_vowels	prajigāaya	āa	yad agnir aśvo bhūtvā prathamaḥ prajigāaya tasmād āgneyībhir ukthāni praṇayanti
1_veda/2_bra/gopbra_u.txt	9391	isolated_consonant	v	v	yad v eva kadvantaḥ
1_veda/2_bra/gopbra_u.txt	9397	isolated_consonant	v	v	yad v eva kadvantaḥ
1_veda/2_bra/gopbra_u.txt	9403	isolated_consonant	v	v	yad v eva kadvantaḥ
1_veda/2_bra/gopbra_u.txt	9443	isolated_consonant	v	v	yad v evaināḥ śaṃsantīndramevaitābhir nirhvayante yatharṣabhaṃ vā...
1_veda/2_bra/gopbra_u.txt	9703	isolated_consonant	v	v	yad v eva śilpāny ātmasaṃskṛtir vai śilpāni
1_veda/2_bra/gopbra_u.txt	9779	isolated_consonant	v	v	yad v evātimarśam ātmā vai bṛhatī
1_veda/2_bra/gopbra_u.txt	9797	isolated_consonant	v	v	yad v evātimarśam ātmā vai bṛhatī
1_veda/2_bra/gopbra_u.txt	9815	isolated_consonant	v	v	yad v evātimarśam ātmā vai bṛhatī
1_veda/2_bra/gopbra_u.txt	10193	isolated_consonant	v	v	yad v evaitaśapralāpo 'yātayāmā vā akṣitir aitaśapralāpaḥ
1_veda/2_bra/gopbra_u.txt	10473	isolated_consonant	v	v	yad v evaināḥ saṃśaṃsati yan nābhānediṣṭho vālakhilyo vṛṣākapir e...
1_veda/2_bra/kausibru.txt	477	isolated_consonant	v	v	yad v eva vatsam spṛśati |
1_veda/2_bra/kausibru.txt	505	isolated_consonant	v	v	yad v eva punaḥ punar nirmanthate |
1_veda/2_bra/kausibru.txt	557	adjacent_vowels	vāacam	āa	tac cakṣur vāacam apyeti vānmayam bhavati |
1_veda/2_bra/kausibru.txt	691	isolated_consonant	v	v	yad v eva etad ubhaye dyur agnihotram ahūyata |
1_veda/2_bra/kausibru.txt	827	isolated_consonant	v	v	yad v eva triḥ prathamām triru uttamām |
1_veda/2_bra/kausibru.txt	919	isolated_consonant	v	v	yad v eva vācā anvāha vācā yajati |
1_veda/2_bra/kausibru.txt	2123	adjacent_vowels	antāi	āi	samānāni tv eva pañca saṃcarāṇi havīṃṣi bhavanti pauṣṇa antāi vaiśvadekikāni |
1_veda/2_bra/kausibru.txt	3149	isolated_consonant	v	v	yad v eva śamyvantam bhavati |
